Id,Area (ABD),Diameter (ABD),Volume (ABD),Diameter (ESD),Volume (ESD),Length,Width,Aspect Ratio,Transparency,Intensity,Sigma Intensity,Sum Intensity,Compactness,Elongation,Perimeter,Convex Perimeter,Roughness,Feret Max Angle,PPC,Ch1 Peak,Ch1 TOF,Ch2 Peak,Ch2 TOF,Ch3 Peak,Ch3 TOF,Avg Red,Avg Green,Avg Blue,Red Green Ratio,Blue Green,Red Blue Ratio,CaptureX,CaptureY,SaveX,SaveY,PixelW,PixelH,Cal Const,Timestamp,Filename
133,443.22,23.76,7.02e+003,27.33,1.07e+004,30.11,22.20,0.74,0.13,77.75,32.76,11818.00,2.81,6.68,125.09,85.90,1.46,-55.00,1.00,195.00,6010.00,249.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,952,61,760,384,71,76,1.7076,"2008-03-11 16:01:04.025",S04.2008-03-10.300F4X3_000002.tif
134,437.38,23.60,6.88e+003,26.44,9.68e+003,29.69,22.13,0.75,0.11,110.60,46.99,16590.00,1.65,2.82,95.11,83.12,1.14,50.00,1.00,195.00,6010.00,249.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,772,418,833,384,76,75,1.7076,"2008-03-11 16:01:04.025",S04.2008-03-10.300F4X3_000002.tif
135,492.79,25.05,8.23e+003,30.36,1.47e+004,39.00,18.78,0.48,0.17,80.36,29.03,13580.00,2.97,7.18,135.51,95.44,1.42,75.00,1.00,195.00,6010.00,249.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,610,600,911,384,71,82,1.7076,"2008-03-11 16:01:04.025",S04.2008-03-10.300F4X3_000002.tif
136,504.45,25.34,8.52e+003,27.08,1.04e+004,30.89,22.87,0.74,0.06,121.54,47.89,21027.00,1.29,1.22,90.28,85.12,1.06,-70.00,1.00,198.00,36.00,249.00,3546.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196,124,0,484,74,77,1.7076,"2008-03-11 16:01:04.235",S04.2008-03-10.300F4X3_000002.tif
137,478.21,24.68,7.87e+003,28.69,1.24e+004,33.91,23.91,0.71,0.14,72.75,33.24,11931.00,3.50,8.88,145.00,90.19,1.61,-60.00,1.00,198.00,36.00,249.00,3546.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,977,471,76,484,46,77,1.7076,"2008-03-11 16:01:04.235",S04.2008-03-10.300F4X3_000002.tif
138,691.07,29.66,1.37e+004,37.51,2.76e+004,44.79,30.60,0.68,0.21,102.45,36.01,24281.00,3.38,8.50,171.32,117.93,1.45,35.00,1.00,95.00,17751.00,273.00,705.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,579,341,124,484,82,79,1.7076,"2008-03-11 16:01:04.596",S04.2008-03-10.300F4X3_000002.tif
139,443.22,23.76,7.02e+003,26.91,1.02e+004,31.52,22.20,0.70,0.12,100.89,38.76,15335.00,2.01,4.06,105.77,84.58,1.25,25.00,1.00,195.00,8191.00,250.00,4183.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,703,551,208,484,77,73,1.7076,"2008-03-11 16:01:04.846",S04.2008-03-10.300F4X3_000002.tif
140,402.39,22.64,6.07e+003,28.99,1.28e+004,36.53,21.59,0.59,0.22,78.93,34.29,10893.00,2.65,6.18,115.84,91.12,1.27,-80.00,1.00,252.00,6601.00,230.00,6994.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,919,181,287,484,73,81,1.7076,"2008-03-11 16:01:06.028",S04.2008-03-10.300F4X3_000002.tif
141,539.44,26.21,9.42e+003,38.01,2.87e+004,50.87,22.20,0.44,0.31,87.41,36.25,16170.00,3.65,9.35,157.24,119.48,1.32,70.00,1.00,238.00,4267.00,232.00,4820.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,494,431,362,484,73,88,1.7076,"2008-03-11 16:01:06.729",S04.2008-03-10.300F4X3_000002.tif
142,279.93,18.88,3.52e+003,25.59,8.77e+003,32.87,14.06,0.43,0.26,86.29,37.71,8284.00,2.84,6.77,99.94,80.43,1.24,80.00,1.00,178.00,4105.00,232.00,1818.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,319,41,437,484,69,79,1.7076,"2008-03-11 16:01:06.949",S04.2008-03-10.300F4X3_000002.tif
143,457.80,24.14,7.37e+003,27.98,1.15e+004,35.84,18.92,0.53,0.14,97.64,41.17,15330.00,1.74,3.16,100.11,87.95,1.14,35.00,1.00,178.00,4105.00,232.00,1818.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,338,118,508,484,77,75,1.7076,"2008-03-11 16:01:06.949",S04.2008-03-10.300F4X3_000002.tif
144,769.80,31.31,1.61e+004,34.37,2.13e+004,41.10,26.93,0.66,0.09,142.45,42.93,37606.00,1.38,1.78,115.60,108.06,1.07,70.00,1.00,499.00,0.00,265.00,3738.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,351,233,587,484,77,83,1.7076,"2008-03-11 16:01:07.360",S04.2008-03-10.300F4X3_000002.tif
145,332.41,20.57,4.56e+003,27.26,1.06e+004,34.68,16.40,0.47,0.25,103.29,39.48,11775.00,2.70,6.32,106.18,85.69,1.24,-20.00,1.00,198.00,5886.00,294.00,1207.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,488,28,666,484,79,74,1.7076,"2008-03-11 16:01:08.391",S04.2008-03-10.300F4X3_000002.tif
146,486.95,24.90,8.08e+003,29.21,1.31e+004,32.09,25.86,0.81,0.15,74.82,30.57,12495.00,2.74,6.46,129.51,91.83,1.41,40.00,1.00,206.00,5272.00,245.00,7024.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,707,1,747,484,77,74,1.7076,"2008-03-11 16:01:09.503",S04.2008-03-10.300F4X3_000002.tif
147,405.31,22.72,6.14e+003,28.06,1.16e+004,36.23,18.78,0.52,0.19,112.58,43.56,15649.00,1.94,3.85,99.53,88.19,1.13,-80.00,1.00,206.00,5272.00,245.00,7024.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,501,239,826,484,71,81,1.7076,"2008-03-11 16:01:09.503",S04.2008-03-10.300F4X3_000002.tif
148,326.58,20.39,4.44e+003,26.69,9.95e+003,34.50,17.96,0.52,0.24,99.78,38.47,11175.00,2.26,4.89,96.28,83.90,1.15,40.00,1.00,228.00,3555.00,230.00,7080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,691,580,899,484,76,73,1.7076,"2008-03-11 16:01:09.923",S04.2008-03-10.300F4X3_000002.tif
149,626.92,28.25,1.18e+004,32.11,1.73e+004,39.31,23.44,0.60,0.12,115.96,41.91,24932.00,1.58,2.58,111.60,100.95,1.11,-50.00,1.00,231.00,68.00,257.00,7632.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276,475,0,574,78,80,1.7076,"2008-03-11 16:01:10.154",S04.2008-03-10.300F4X3_000002.tif
150,428.64,23.36,6.68e+003,25.33,8.51e+003,26.91,22.20,0.82,0.08,85.12,31.16,12512.00,1.78,3.29,97.94,79.62,1.23,30.00,1.00,231.00,68.00,257.00,7632.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,436,671,80,574,75,73,1.7076,"2008-03-11 16:01:10.154",S04.2008-03-10.300F4X3_000002.tif
151,1513.35,43.90,4.43e+004,47.49,5.61e+004,54.73,37.71,0.69,0.08,137.29,39.35,71255.00,1.43,2.00,165.07,149.28,1.11,-15.00,1.00,204.00,6323.00,231.00,5887.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,38,157,574,90,83,1.7076,"2008-03-11 16:01:10.654",S04.2008-03-10.300F4X3_000002.tif
152,501.53,25.27,8.45e+003,28.25,1.18e+004,31.52,23.74,0.75,0.11,94.55,37.56,16262.00,1.50,2.26,97.11,88.82,1.09,25.00,1.00,194.00,640.00,243.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284,258,249,574,78,75,1.7076,"2008-03-11 16:01:11.125",S04.2008-03-10.300F4X3_000002.tif
153,912.68,34.09,2.07e+004,35.61,2.36e+004,37.89,31.89,0.84,0.04,126.57,37.80,39615.00,1.20,1.00,117.43,111.94,1.05,20.00,1.00,194.00,640.00,243.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,811,599,329,574,81,81,1.7076,"2008-03-11 16:01:11.125",S04.2008-03-10.300F4X3_000002.tif
154,422.81,23.20,6.54e+003,27.39,1.08e+004,32.24,22.24,0.69,0.15,97.17,37.49,14090.00,2.11,4.39,105.77,86.12,1.23,65.00,1.00,215.00,9340.00,221.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,643,1,412,574,75,71,1.7076,"2008-03-11 16:01:11.826",S04.2008-03-10.300F4X3_000002.tif
155,679.40,29.41,1.33e+004,38.27,2.93e+004,49.78,25.48,0.51,0.23,95.03,38.21,22141.00,3.36,8.43,169.32,120.30,1.41,-85.00,1.00,215.00,9340.00,221.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,417,290,489,574,75,89,1.7076,"2008-03-11 16:01:11.826",S04.2008-03-10.300F4X3_000002.tif
156,291.59,19.27,3.75e+003,29.92,1.40e+004,41.42,16.16,0.39,0.36,86.62,42.63,8662.00,3.55,9.03,114.02,94.05,1.21,-25.00,1.00,229.00,118.00,252.00,1815.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,337,248,566,574,82,73,1.7076,"2008-03-11 16:01:12.227",S04.2008-03-10.300F4X3_000002.tif
157,1055.55,36.66,2.58e+004,48.57,6.00e+004,61.44,32.82,0.53,0.25,118.22,44.44,42797.00,2.97,7.19,198.47,152.68,1.30,-60.00,1.00,203.00,2320.00,244.00,4752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135,590,650,574,84,92,1.7076,"2008-03-11 16:01:12.497",S04.2008-03-10.300F4X3_000002.tif
158,612.34,27.92,1.14e+004,34.13,2.08e+004,39.89,28.32,0.71,0.18,103.17,47.66,21666.00,2.59,5.97,141.17,107.30,1.32,80.00,1.00,183.00,4662.00,224.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,488,53,736,574,77,83,1.7076,"2008-03-11 16:01:12.737",S04.2008-03-10.300F4X3_000002.tif
